ZIP Code,	Latitude,	Longitude
00178,	41.8330778,	12.5412761
00179,	41.8677293,	12.5154628
00180,	60.1644255,	24.9113595
00181,	41.87561059999999,	12.532671
00182,	41.8817674,	12.5211986
00183,	41.8795238,	12.5082935
00184,	41.889187,	12.4982572
00185,	41.8977003,	12.5097274
00186,	41.8966008,	12.4753205
00187,	41.905116,	12.4867883
00188,	42.03607119999999,	12.4724537
00189,	41.9800429,	12.4495221
00190,	60.1455436,	24.9822701
00191,	41.94271029999999,	12.4781873
00192,	41.9093326,	12.4595541
00193,	41.9062588,	12.4652871
00195,	41.9180433,	12.4581209
00196,	41.9314429,	12.469587
00197,	41.9246645,	12.4867883
00198,	41.9178828,	12.5039922
00199,	41.9319083,	12.5097274
00200,	60.1600568,	24.8713597
00205,	55.9276642,	21.0838218
00210,	60.15108780000001,	24.8852496
00215,	55.914494,	21.0586207
00216,	55.9201744,	21.0502837
00218,	55.9174805,	21.0510842
00220,	60.1556346,	24.9166129
00221,	55.95677370000001,	21.0800581
00222,	55.9618531,	21.0842795
00224,	55.91285689999999,	21.083059
00225,	55.9137116,	21.0670753
00230,	60.2120552,	24.9169925
00240,	60.20668629999999,	24.9244719
00250,	60.1867356,	24.9236026
00260,	60.1789138,	24.9240135
00270,	60.1949243,	24.9059095
00280,	60.2009885,	24.9065464
00290,	60.1892544,	24.9071695
00300,	60.20644679999999,	24.8947445
00301,	56.0261143,	21.0859914
00302,	56.02427489999999,	21.0881159
00303,	56.0177655,	21.0857454
00304,	56.02755149999999,	21.0963261
00305,	56.0250548,	21.0735372
00306,	56.02992649999999,	21.0891637
00307,	56.022681,	21.0806987
00308,	56.031721,	21.0729894
00309,	56.0392346,	21.0963027
00310,	60.2105707,	24.9050774
00311,	56.0474371,	21.1116709
00312,	56.0337056,	21.090481
00313,	56.0387397,	21.1153977
00314,	56.0272847,	21.0814827
00315,	56.03200709999999,	21.1122256
00316,	56.0627852,	21.0829867
00317,	56.03769699999999,	21.0803968
00318,	56.0490217,	21.1068933
00319,	56.023806,	21.0968637
00320,	60.2168179,	24.8970678
00321,	56.00549359999999,	21.0992833
00322,	56.0256546,	21.1069333
00323,	56.01727289999999,	21.104827
00324,	55.9925564,	21.0757396
00325,	56.0575379,	21.116431
00326,	56.04185709999999,	21.1265337
00330,	60.1964379,	24.8751426
00331,	56.0059722,	21.1027266
00332,	55.99378189999999,	21.0974507
00333,	56.02934699999999,	21.0801524
00334,	56.0215829,	21.0776538
00336,	56.0227033,	21.0877219
00338,	56.0320112,	21.0774949
00340,	60.1803621,	24.854928
00350,	60.2087472,	24.8677618
00360,	60.2177188,	24.8538417
00370,	60.2245747,	24.8582635
00380,	60.2156019,	24.872186
00390,	60.241372,	24.8439018
00400,	60.2245812,	24.8974177
00410,	60.24884100000001,	24.8607746
00420,	60.2398658,	24.8747079
00430,	60.25242600000001,	24.8970798
00440,	60.2310707,	24.8799849
00501,	40.8179265,	-73.0453137
00520,	60.20025279999999,	24.9411182
00530,	60.1809045,	24.9526712
00544,	40.8172671,	-73.0459774
00560,	60.21144529999999,	24.9856452
00570,	60.18810209999999,	25.0043132
00580,	60.19422819999999,	24.9788428
00590,	60.1672702,	25.0204759
00601,	18.152217,	-66.7367345
00603,	18.4682429,	-67.1179511
00605,	18.4544603,	-67.1537048
00606,	18.1841095,	-66.9823713
00611,	18.2870081,	-66.7997571
00612,	18.4528424,	-66.7464487
00613,	18.4726142,	-66.7164623
00636,	18.1600166,	-67.0803658
00637,	18.0932207,	-66.9749731
00641,	18.266146,	-66.7005065
00646,	18.4622387,	-66.2962203
00650,	18.3612903,	-66.566367
00652,	18.4551549,	-66.5819231
00653,	17.9726834,	-66.9074624
00656,	18.0325027,	-66.795137
00667,	18.0033418,	-67.058374
00669,	18.2932055,	-66.8837495
00670,	18.2449261,	-67.0096792
00674,	18.4204876,	-66.48667329999999
00676,	18.3955528,	-67.1170037
00677,	18.3069824,	-67.2341377
00678,	18.4736828,	-66.9385578
00680,	18.1825195,	-67.14127839999999
00681,	18.2014973,	-67.1434021
00682,	18.2323231,	-67.1060353
00683,	18.079942,	-67.04510479999999
00694,	18.4874843,	-66.4045597
00703,	18.2646735,	-66.17201519999999
00704,	17.9599917,	-66.2314272
00714,	17.9870515,	-66.058249
00715,	18.004076,	-66.5342963
00716,	18.0061035,	-66.5929503
00717,	18.0004826,	-66.6042494
00719,	18.250685,	-66.30365859999999
00720,	18.24283,	-66.40334229999999
00721,	18.370906,	-65.7740519
00723,	18.04732,	-66.0106684
00726,	18.2344053,	-66.048442
00727,	18.1866013,	-66.058249
00728,	18.0859651,	-66.65337
00730,	18.0576521,	-66.6057378
00731,	18.1311468,	-66.63952189999999
00732,	18.01,	-66.61
00733,	18.01,	-66.61
00754,	18.1895236,	-65.9609256
00757,	17.988847,	-66.415246
00760,	60.27055999999999,	25.0615093
00765,	18.1262854,	-65.44009849999999
00767,	18.0538398,	-65.8917378
00769,	18.1033386,	-66.3557299
00770,	60.2564714,	25.0698877
00791,	18.132987,	-65.8203943
00792,	18.1545099,	-65.81972999999999
00794,	18.2014759,	-66.3096094
00795,	18.0424342,	-66.48667329999999
00800,	60.20873210000001,	25.0299403
00802,	18.335361,	-64.95340089999999
00804,	18.3418273,	-64.9310045
00820,	17.7210112,	-64.7280952
00831,	18.3304399,	-64.79297269999999
00841,	17.7123792,	-64.8815157
00851,	17.7235605,	-64.7755669
00880,	60.1979797,	25.0448674
00890,	60.24857989999999,	25.185683
00923,	18.4124929,	-66.0326401
00925,	18.403745,	-66.05378809999999
00927,	18.3958126,	-66.0671709
00970,	18.357209,	-66.11448
00971,	18.3822991,	-66.1221928
01000,	46.2135885,	5.245280999999999
01001,	42.0636956,	-72.6269437
01002,	42.34037989999999,	-72.4968189
01003,	42.3956556,	-72.52196169999999
01004,	42.3761193,	-72.5324102
01005,	42.4228364,	-72.1050843
01006,	42.8355156,	-2.6561571
01007,	42.2872433,	-72.4021423
01008,	42.18370350000001,	-72.9696779
01009,	42.2149803,	-72.3440624
01010,	42.1423204,	-72.2126905
01011,	42.2987566,	-72.9696779
01012,	42.3802332,	-72.8456399
01013,	42.1521342,	-72.6092032
01014,	42.1584677,	-72.58535859999999
01015,	42.8361441,	-2.7331928
01016,	42.237244,	11.7751709
01017,	-23.5484098,	-46.6264937
01018,	42.5732219,	11.8093583
01019,	42.3251459,	12.0489791
01020,	42.1753663,	-72.5737187
01021,	42.1584677,	-72.58535859999999
01022,	42.1985692,	-72.53822930000001
01023,	42.6337682,	11.9690458
01026,	42.4559124,	-72.9342451
01027,	42.2667707,	-72.6689603
01028,	42.0644337,	-72.5086511
01029,	42.1965884,	-73.0228173
01030,	42.0710458,	-72.6742455
01031,	42.345024,	-72.224535
01032,	42.4548308,	-72.8338234
01033,	42.263889,	-72.4968189
01034,	42.0684029,	-72.9696779
01035,	42.3592048,	-72.5559746
01036,	42.0572887,	-72.4021423
01037,	42.3794045,	-72.2008455
01038,	42.3818468,	-72.6092032
01039,	42.400416,	-72.6978931
01040,	42.2172092,	-72.6269437
01041,	42.2081539,	-72.60965300000001
01042,	-23.545457,	-46.6399128
01045,	-23.5419202,	-46.6421748
01048,	19.3622162,	-99.2049624
01049,	19.3529057,	-99.19613539999999
01050,	42.2920691,	-72.86336349999999
01053,	42.3506122,	-72.7156274
01054,	42.4816448,	-72.4849861
01056,	42.1912926,	-72.4613191
01057,	42.0806976,	-72.3074326
01059,	42.41032329999999,	-72.53101339999999
01060,	42.3250492,	-72.6411923
01061,	42.3214031,	-72.6273488
01062,	42.3239585,	-72.6978931
01063,	42.31907260000001,	-72.6395091
01066,	42.4137381,	-72.6262045
01067,	51.05754959999999,	13.7170648
01068,	42.35275710000001,	-72.0349647
01069,	42.1842549,	-72.2955915
01070,	42.5208988,	-72.92243289999999
01071,	42.1578479,	-72.86336349999999
01072,	42.4513995,	-72.4139787
01073,	42.224142,	-72.7333604
01074,	42.3845376,	-72.0987919
01075,	42.2481415,	-72.5796331
01077,	42.05087229999999,	-72.79246119999999
01079,	42.2013906,	-72.32815310000001
01080,	42.1830752,	-72.3636704
01081,	42.0579166,	-72.224535
01082,	42.25970239999999,	-72.2397493
01083,	42.2217737,	-72.2156517
01084,	42.3856752,	-72.8810859
01085,	42.1318779,	-72.7570024
01086,	42.11429770000001,	-72.74843109999999
01088,	42.3873739,	-72.64468289999999
01089,	42.1249932,	-72.6505957
01090,	42.11,	-72.61999999999999
01092,	42.206416,	-72.23933989999999
01093,	42.4289964,	-72.628422
01094,	42.35417959999999,	-72.142909
01095,	42.1300574,	-72.4376499
01096,	42.4113943,	-72.7688226
01097,	42.1599999,	-72.83
01098,	42.4135617,	-72.9696779
01099,	51.0871884,	13.8028038
01100,	46.2429431,	5.6369398
01101,	42.1056673,	-72.59774519999999
01102,	42.11,	-72.6
01103,	42.105218,	-72.59294009999999
01104,	42.1341459,	-72.5707614
01105,	42.1014803,	-72.5766759
01106,	42.0526282,	-72.5559746
01107,	42.1156917,	-72.6062464
01108,	42.0871698,	-72.5618894
01109,	42.1237147,	-72.5500596
01110,	19.3932334,	-99.21413659999999
01111,	42.117339,	-72.5481187
01115,	42.1030926,	-72.5917031
01116,	42.0469648,	-72.53278860000002
01118,	42.0912195,	-72.52639839999999
01119,	42.1277525,	-72.514567
01120,	19.3988459,	-99.2051355
01121,	-23.5250912,	-46.6331274
01126,	54.6792481,	25.2909653
01127,	51.0779366,	13.7224379
01128,	42.0971896,	-72.4879444
01129,	42.11444729999999,	-72.4909026
01131,	54.68089999999999,	25.2860223
01132,	54.6800163,	25.2801112
01133,	-23.5191302,	-46.6572575
01136,	54.6751618,	25.2842029
01137,	54.6743086,	25.2835057
01138,	42.0874076,	-72.56429080000001
01139,	42.11,	-72.6
01140,	46.1646643,	4.8325174
01144,	42.1019933,	-72.5905375
01150,	45.8852555,	5.315724299999999
01151,	42.1546691,	-72.502735
01152,	42.153624,	-72.5190038
01155,	-23.5299436,	-46.6626884
01156,	51.085544,	13.6276849
01159,	51.041241,	13.6977528
01180,	19.3868525,	-99.19475090000002
01187,	51.0266014,	13.7090684
01190,	46.4279631,	4.9651078
01199,	42.1208719,	-72.6029199
01200,	46.1202119,	5.789612600000001
01201,	42.46345030000001,	-73.3001233
01202,	42.4495146,	-73.2493233
01203,	42.45,	-73.25
01204,	54.68092110000001,	25.302382
01206,	-23.5357693,	-46.6424764
01207,	-23.5394774,	-46.6385556
01208,	-23.5372881,	-46.6382541
01209,	-23.5399544,	-46.64338129999999
01210,	19.382987,	-99.2418386
01214,	-23.5384056,	-46.6457942
01215,	-23.534414,	-46.6445877
01217,	51.0144606,	13.7439601
01218,	-23.531614,	-46.64338129999999
01219,	51.024895,	13.7678094
01220,	42.625879,	-73.111356
01221,	-23.5473869,	-46.648509
01222,	42.0583031,	-73.317812
01223,	42.32026430000001,	-73.111356
01224,	42.5110387,	-73.19543600000002
01225,	42.5645265,	-73.1467619
01226,	42.4846267,	-73.1231585
01227,	42.47,	-73.17
01229,	42.2866056,	-73.3502377
01230,	42.20217299999999,	-73.3472901
01233,	-23.5359022,	-46.6626884
01234,	-23.5410862,	-46.6638953
01235,	42.4279279,	-73.06413959999999
01236,	42.2593683,	-73.3767641
01237,	42.597797,	-73.2411506
01238,	42.3043674,	-73.2460582
01240,	42.372065,	-73.2647416
01242,	42.3339899,	-73.2463113
01243,	42.37085829999999,	-73.0346244
01244,	42.11757220000001,	-73.2695332
01245,	42.1888456,	-73.19396119999999
01247,	42.6948505,	-73.06413959999999
01251,	-23.5476399,	-46.6759664
01252,	42.2,	-73.44
01253,	42.19024750000001,	-73.0759446
01254,	42.3861466,	-73.3590802
01255,	42.1283575,	-73.111356
01256,	42.5734461,	-73.0169135
01259,	42.0612942,	-73.2411506
01264,	42.2407566,	-73.1880618
01266,	42.3165041,	-73.4062342
01267,	42.6852841,	-73.2529464
01300,	45.7445007,	5.670189199999999
01301,	42.5924102,	-72.6037637
01302,	42.5875135,	-72.5976008
01307,	51.0566797,	13.7688263
01309,	51.0491316,	13.7874211
01310,	46.2385363,	5.118185
01311,	54.6714462,	25.2790697
01312,	-23.5543577,	-46.64971560000001
01315,	-23.5534024,	-46.6400636
01316,	-23.5521656,	-46.6373493
01324,	51.0618662,	13.854772
01326,	51.0541268,	13.8144233
01327,	-23.5650059,	-46.645191
01328,	51.0334817,	13.8952564
01329,	-23.5602702,	-46.6470008
01330,	42.5063924,	-72.82791499999999
01331,	42.5938138,	-72.2271292
01337,	42.6906541,	-72.5441445
01338,	42.5846501,	-72.8101887
01339,	42.6279595,	-72.8751786
01340,	42.6821496,	-72.7333604
01341,	42.522589,	-72.6860696
01342,	42.5382769,	-72.6032895
01343,	42.6575978,	-72.97558289999999
01344,	42.6131079,	-72.44356739999999
01346,	42.6607597,	-72.8101887
01347,	42.5562716,	-72.5167854
01349,	42.5730193,	-72.4909026
01350,	42.7128396,	-72.9637728
01351,	42.5462156,	-72.53231389999999
01354,	42.6376015,	-72.5086511
01355,	42.4249954,	-72.3074326
01360,	42.6957223,	-72.4528023
01370,	42.6060911,	-72.7333604
01376,	42.5936643,	-72.5618894
01379,	42.5466312,	-72.4139787
01380,	42.5846756,	-72.4139787
01400,	46.1572313,	5.0053914
01404,	-23.5695673,	-46.6566541
01406,	-23.5803717,	-46.6784781
01409,	-23.5608535,	-46.6581626
01410,	46.2318891,	5.856819100000001
01411,	-23.5637295,	-46.6638953
01413,	-23.5516325,	-46.6530339
01414,	-23.5601692,	-46.6648005
01415,	-23.558128,	-46.6614815
01420,	42.5768698,	-71.8334145
01425,	-23.5723984,	-46.6596712
01428,	-23.5720718,	-46.6638953
01430,	42.6682004,	-71.9282781
01431,	42.6792111,	-71.82155449999999
01432,	42.56035869999999,	-71.560526
01433,	-23.5778977,	-46.6678181
01434,	42.5360141,	-71.6139348
01436,	42.60778200000001,	-72.0823688
01437,	-23.570166,	-46.6687234
01438,	42.561206,	-72.03829809999999
01439,	-23.5646541,	-46.6717412
01440,	42.59246419999999,	-71.9875531
01441,	42.5610824,	-71.925572
01445,	51.1115439,	13.6433181
01448,	-23.5791074,	-46.6807956
01450,	42.6057805,	-71.5486562
01451,	42.5073686,	-71.5842643
01452,	42.4937014,	-72.0231125
01453,	42.52334339999999,	-71.7385225
01455,	-23.5832513,	-46.6910592
01456,	-23.5760986,	-46.6910592
01458,	51.1751105,	13.8246035
01460,	42.5295344,	-71.4893013
01462,	42.5992565,	-71.7385225
01463,	42.6664257,	-71.5792827
01464,	42.5721628,	-71.6317359
01465,	51.1260965,	13.8417809
01467,	42.4923435,	-71.617318
01468,	42.5507966,	-72.0823688
01469,	42.6747554,	-71.6792008
01470,	42.61,	-71.5699999
01471,	42.6234219,	-71.5846219
01472,	42.6031146,	-71.6267349
